date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi,temperature,humidity,wind_speed
2024-08-01,258.32916666666665,80.77083333333333,550.9166666666666,41.05416666666667,26.27916666666667,107.29166666666669,1.0279166666666668,371.9166666666667,1.7354166666666666,197.58333333333337,175.5,38.358333333333334,44.958333333333336,14.608333333333334
2024-08-02,193.05416666666667,55.28333333333333,412.875,25.204166666666666,17.400000000000002,160.45833333333334,0.85,306.2083333333333,2.06875,167.08333333333334,122.0,36.145833333333336,61.708333333333336,13.637500000000001
2024-08-03,156.12916666666666,45.458333333333336,386.8333333333333,30.629166666666663,18.379166666666663,131.5,0.91125,251.29166666666663,1.8270833333333336,133.95833333333334,112.04166666666669,35.891666666666666,63.5,12.054166666666667
2024-08-04,250.6625,53.35833333333333,320.75,23.675,15.504166666666668,138.25,0.6854166666666667,481.5833333333333,2.1041666666666665,130.70833333333334,119.54166666666669,34.699999999999996,66.70833333333333,13.4625
2024-08-05,249.14583333333337,59.04583333333333,361.7916666666667,33.40416666666667,17.966666666666665,90.54166666666669,0.7916666666666666,451.625,1.58125,146.125,131.45833333333334,35.75,59.0,15.966666666666667
2024-08-06,239.9958333333333,64.77916666666667,286.6666666666667,21.925,11.866666666666667,106.29166666666669,0.7891666666666667,410.875,2.0124999999999997,169.70833333333334,157.125,34.795833333333334,50.291666666666664,16.95416666666667
2024-08-07,219.3375,62.44583333333333,543.7916666666666,42.34583333333333,28.0625,118.58333333333331,0.8233333333333333,327.0833333333333,2.0124999999999997,152.875,122.66666666666669,36.2125,51.75,11.779166666666667
2024-08-08,230.40833333333333,58.375,412.25,34.458333333333336,20.133333333333333,102.0,0.7683333333333334,392.8333333333333,2.1145833333333335,151.0,124.0,36.454166666666666,52.583333333333336,18.716666666666665
2024-08-09,334.42083333333335,62.62916666666666,274.7083333333333,23.55,11.7625,76.29166666666667,0.6745833333333334,689.3333333333334,2.13125,170.91666666666666,157.58333333333334,36.275,50.208333333333336,24.325
2024-08-10,219.7458333333333,46.75,310.1666666666667,31.366666666666664,14.658333333333331,63.833333333333336,0.5337500000000001,425.875,2.2333333333333334,165.66666666666666,154.58333333333334,35.97083333333333,48.75,19.183333333333334
2024-08-11,149.43333333333334,41.12083333333333,347.0416666666667,34.25833333333333,17.712500000000002,69.375,0.5858333333333333,246.41666666666663,2.2062500000000003,121.375,113.58333333333331,36.2875,49.25,15.1625
2024-08-12,127.125,46.45416666666667,439.125,45.4625,23.633333333333336,78.79166666666667,0.6354166666666666,145.125,2.066666666666667,116.29166666666669,92.125,37.104166666666664,49.083333333333336,12.316666666666668
2024-08-13,172.3708333333333,46.3125,392.1666666666667,37.083333333333336,18.929166666666667,99.95833333333331,0.685,277.375,1.9416666666666669,127.20833333333331,97.20833333333331,37.645833333333336,46.416666666666664,13.958333333333334
2024-08-14,222.925,48.6875,334.875,36.1125,16.979166666666668,75.375,0.5545833333333333,425.2916666666667,2.066666666666667,131.0,121.04166666666669,37.75416666666667,47.208333333333336,15.491666666666667
2024-08-15,238.2375,51.3625,375.5416666666667,37.9125,19.095833333333335,66.45833333333333,0.5066666666666667,444.7083333333333,2.2270833333333333,139.45833333333334,133.66666666666666,37.46666666666667,48.875,13.770833333333334
2024-08-16,190.2375,57.475,668.1666666666666,54.0,35.63333333333333,97.125,0.4654166666666666,251.70833333333337,2.310416666666667,148.125,125.70833333333331,35.13333333333333,60.375,9.15
2024-08-17,336.9875,62.94583333333333,372.4583333333333,38.1125,19.25,74.91666666666667,0.6654166666666667,680.25,1.95,157.08333333333334,134.91666666666666,36.13333333333333,55.833333333333336,21.020833333333332
2024-08-18,357.75,60.6875,242.54166666666663,24.97083333333333,11.508333333333333,65.45833333333333,0.86,771.9583333333334,1.6583333333333334,235.25,191.58333333333337,35.454166666666666,53.708333333333336,24.491666666666664
